Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
11,male,American,Mr.,Brian,N,Wright,4036 Heavner Court,New York,NY,New York,10004,US,United States,BrianNWright@cuvox.de,Leene1941,aeSarohsh6,516-267-8820,1,Johnson,10/17/1941,77,Libra,MasterCard,5.16712E+15,578,24-May,125-88-0576,1Z 505 82W 69 3457 904 6,6596338436,72434379,Blue,Business support assistant,Isaly's,2003 Honda City,nycsts.com,A+,225.1,102.3,"5' 5""",165,b6379b3c-b1be-41e4-8899-11c7b318151c,40.783875,-73.984724
12,female,American,Mrs.,Amber,F,Pierce,4552 Ashwood Drive,Spencer,IA,Iowa,51301,US,United States,AmberFPierce@cuvox.de,Prehopecon,aiwash6feL,712-301-1508,1,Guidry,2/13/1973,46,Aquarius,MasterCard,5.39125E+15,843,22-May,482-58-2057,1Z 336 224 41 2970 203 4,8317206143,890885,Blue,Typesetting machine tender,Monk Home Loans,2000 GMC Jimmy,arabictvtube.com,O+,180.2,81.9,"5' 1""",156,921e1ff5-1d3e-4fdf-b005-d0a8e8170c55,43.219242,-95.167843
13,female,American,Mrs.,Kimberly,W,Olson,4013 Willow Oaks Lane,Lake Charles,LA,Louisiana,70629,US,United States,KimberlyWOlson@jourrapide.com,Dellittef,Shee2oP4Ai,337-353-0187,1,Brown,2/23/1951,68,Pisces,MasterCard,5.38938E+15,686,23-Sep,436-01-7025,1Z 349 299 37 9602 415 5,9287797361,82676342,Green,Obstetrician,Almacs,1994 Mitsubishi Pajero,epreciousmetal.com,O+,206.6,93.9,"5' 0""",153,fa7ca46f-e0ff-4e92-802e-3ea18222716f,30.243061,-93.319082
14,female,American,Ms.,Stephanie,S,Deer,775 Boone Crockett Lane,Seattle,WA,Washington,98161,US,United States,StephanieSDeer@superrito.com,Wasion,Oowi7pee,360-471-0795,1,Dodson,7/16/1997,21,Cancer,Visa,4.53999E+15,320,21-May,539-72-0684,1Z 785 596 20 2795 974 0,8870528615,26302233,Blue,Computer control operator,Big A Auto Parts,2000 Ford Mustang,hangable.com,O+,177.1,80.5,"5' 7""",169,92173964-af61-4303-9971-49d8717b2bfc,47.404786,-121.830531
15,female,American,Ms.,Ethel,R,Allen,2025 West Fork Drive,Deerfield Beach,FL,Florida,33441,US,United States,EthelRAllen@rhyta.com,Comening,am6ooKi2eig,954-428-1776,1,Bush,11/13/1941,77,Scorpio,Visa,4.92938E+15,181,22-Feb,595-56-8673,1Z 564 244 07 9459 594 0,1121709705,208949,Purple,Writer,New World,2011 Volkswagen Passat,afrikstyle.com,O+,207,94.1,"5' 0""",152,9716ed22-4027-434c-9808-92c85d528327,26.247832,-80.150899
16,male,American,Mr.,Raphael,J,Stephens,3345 Point Street,Chicago,IL,Illinois,60631,US,United States,RaphaelJStephens@gustr.com,Stromend,Pho2eev6o,773-822-3157,1,Castiglia,2/1/1935,84,Aquarius,Visa,4.92967E+15,711,22-Apr,333-34-2324,1Z 938 7W4 29 3577 966 9,495847258,92504683,Orange,Communications equipment operator,Cut Rite,2007 GMC Acadia,duuoobg.com,A+,156.6,71.2,"6' 0""",183,2e4c6c3d-0fcf-466e-8006-41831d9896f8,42.041049,-87.724016
17,female,American,Mrs.,Joann,C,Prosser,2708 Barfield Lane,Indianapolis,IN,Indiana,46250,US,United States,JoannCProsser@armyspy.com,Womaid,aeb4uo8Roo,317-594-7140,1,Roberts,9/10/1993,25,Virgo,Visa,4.91618E+15,87,21-Oct,307-06-0897,1Z 281 507 16 2602 423 8,702455472,47175189,Orange,Slot key person,Opti-Tek,2001 BMW X5,mtmikespizza.com,B+,113.5,51.6,"5' 7""",170,84399c73-7d0f-49cc-ab03-45d830a6fe99,39.848835,-86.043344
18,female,American,Mrs.,Peggy,S,Twombly,3792 Stewart Street,Indianapolis,IN,Indiana,46204,US,United States,PeggySTwombly@jourrapide.com,Eatentsen,the8ChieB3Ai,317-687-9878,1,High,6/14/1939,79,Gemini,Visa,4.71663E+15,107,22-Jun,309-30-8596,1Z 403 607 07 6772 564 9,4476869199,36643010,Blue,Military occupation,Vinyl Fever,2000 Audi A4,carpentercode.com,B+,173.4,78.8,"4' 11""",151,063f8f25-672a-47a4-a4b3-b2fcf23a5747,39.804418,-86.12255
19,female,American,Mrs.,Sadie,M,Taylor,4078 Copperhead Road,Windsor,CT,Connecticut,6095,US,United States,SadieMTaylor@superrito.com,Disser,jahr0eejuW,860-670-5825,1,Miller,12/26/1936,82,Capricorn,Visa,4.92977E+15,900,23-Oct,047-30-0982,1Z 542 732 85 4474 626 6,6040937001,64015811,Blue,Electrical line worker,Las Vegas Yard Management,2011 Nissan Grand Livina,beepainfree.com,AB+,109.6,49.8,"5' 1""",156,2871c782-5a21-4979-a614-82bd1c433085,41.808655,-72.602478
20,female,American,Ms.,Deena,D,Pickering,3209 Better Street,Lenexa,KS,Kansas,66214,US,United States,DeenaDPickering@cuvox.de,Operin63,EeyeeFeg4,913-378-1482,1,Rivera,7/2/1963,55,Cancer,MasterCard,5.45205E+15,390,23-Feb,509-36-0370,1Z 333 642 97 1361 080 3,6724232928,48250798,Blue,ENG operator,Quality Realty Service,2010 Renault Koleos,usgatour.com,B+,178,80.9,"5' 5""",166,efa43d26-556e-4f96-9092-0caa3e2c7e2c,38.966197,-94.754312
21,female,American,Mrs.,Kimberly,D,Pickens,4874 Lindale Avenue,Oakland,CA,California,94612,US,United States,KimberlyDPickens@superrito.com,Goope1940,Mahk9eiv9boh,510-586-3300,1,Perry,7/19/1940,78,Cancer,Visa,4.55643E+15,57,21-Oct,603-84-3555,1Z 964 810 79 2863 229 2,4950898610,56781787,Yellow,Local controller,Newhair,2006 Koenigsegg CCR,getthatlicense.com,A+,139.3,63.3,"5' 1""",154,a8e99b26-ba9b-4ed2-9778-13904ea9910f,37.759952,-122.356126
22,female,American,Ms.,Rebecca,E,Murdock,963 West Side Avenue,Rochelle Park,NJ,New Jersey,7662,US,United States,RebeccaEMurdock@fleckens.hu,Forneirdis,ook8Aiphi,201-218-0610,1,Knox,1/16/1977,42,Capricorn,MasterCard,5.2644E+15,705,20-Jul,146-40-4091,1Z 309 235 35 8817 024 9,8860710938,27838699,Blue,Web programmer,Flexus,2011 Opel Combo,orquestaranura.com,A+,190.3,86.5,"5' 1""",154,85809e54-590c-461a-acdf-a43b72243124,40.962409,-73.994824
23,male,American,Mr.,Alfred,R,Leach,89 Oakway Lane,Northridge,CA,California,91324,US,United States,AlfredRLeach@superrito.com,Andeat,TaiRah8shie,818-349-5473,1,Dunham,8/12/1961,57,Leo,Visa,4.53961E+15,352,20-Apr,560-59-0461,1Z 0V9 847 53 1016 083 4,6909632771,82144584,Blue,Geographer,Coast to Coast Hardware,1996 Toyota Previa,bnrutad.com,AB-,187,85,"6' 2""",187,7dc4ff8b-ce80-456c-a146-156303e37409,34.244789,-118.57067
24,female,American,Mrs.,Rae,J,Johnson,2765 Crestview Terrace,Kerrville,TX,Texas,78028,US,United States,RaeJJohnson@superrito.com,Marome,jiTh1up0aequ,830-792-3134,1,Cowley,9/9/1943,75,Virgo,MasterCard,5.45612E+15,294,20-Mar,627-07-9037,1Z 576 2V5 78 2612 289 3,9663254171,40943372,Blue,Employment recruiter,Netaid,1995 Acura Integra,swapfund.com,O+,153.1,69.6,"5' 2""",157,b4409008-f79d-41a2-950d-4899a6ad8d4b,30.061713,-99.213015
25,female,American,Mrs.,Reta,C,Conti,3472 Cedar Lane,Somerville,MA,Massachusetts,2143,US,United States,RetaCConti@jourrapide.com,Duad1951,Ahgeih5E,617-625-3003,1,Fabela,5/21/1951,67,Gemini,Visa,4.53217E+15,508,24-May,019-50-3700,1Z 827 A74 09 6335 203 3,7413615705,87805502,Purple,Urology nurse,Home Centers,2014 Hyundai Genesis,uberportal.com,A+,193.2,87.8,"5' 1""",156,ab20ca39-93f2-4de7-98d4-334ad5e9fded,42.417255,-71.042669
26,female,American,Mrs.,Kay,D,Gould,3444 Cody Ridge Road,Guymon,OK,Oklahoma,73942,US,United States,KayDGould@teleworm.us,Athey1994,ve7Zaimadah,580-517-2216,1,Lopez,1/8/1994,25,Capricorn,MasterCard,5.29915E+15,107,23-Sep,443-64-8905,1Z 320 163 66 8039 105 6,9219768284,95159558,Green,Deputy sheriff,Strategy Consulting,2006 Mazda Drifter,dastransport.com,A+,115.7,52.6,"5' 1""",154,e877ce8f-ddf0-424d-8c6b-fcbfd3e31ba6,36.729159,-101.58711
27,female,American,Mrs.,Mildred,G,Bond,3826 Caynor Circle,Bloomsbury,NJ,New Jersey,8804,US,United States,MildredGBond@teleworm.us,Pronce,eeZ4Nough,908-479-9076,1,Miller,11/3/1967,51,Scorpio,Visa,4.55609E+15,878,22-Jul,137-04-4074,1Z 4F6 5F5 34 3809 422 4,2779965582,6106805,Blue,Library clerk,Heslop's,1997 Westfield ZEI,smackmobile.com,A+,210.5,95.7,"5' 1""",155,77a316b4-d09b-435d-a192-76b9f500f14a,40.726357,-75.169942
28,female,American,Ms.,Chong,J,Hayes,3347 Hartway Street,Mitchell,SD,South Dakota,57301,US,United States,ChongJHayes@dayrep.com,Exion1966,fohsh7quaTh,605-770-0693,1,Logan,4/26/1966,52,Taurus,Visa,4.53261E+15,647,22-Jul,504-74-6700,1Z W95 954 55 6045 644 3,2061261357,57998234,Purple,Educational consultant,Lafayette Radio,2002 Morgan Aero 8,xprocrm.com,B+,165,75,"5' 6""",167,91aacac6-4033-4e42-9882-b6e5d17a838f,43.662619,-98.093306
29,female,American,Dr.,Joann,M,Welch,1422 Twin House Lane,Springfield,MO,Missouri,65806,US,United States,JoannMWelch@dayrep.com,Glon1961,meiw4aaLiu,417-396-1330,1,Martin,4/23/1961,57,Taurus,MasterCard,5.58091E+15,480,22-Oct,498-09-8323,1Z Y78 117 82 9424 678 9,3936687256,14955801,Red,Quality auditor,Harmony House,2011 Honda Stream,synergyokcllc.com,O-,139.5,63.4,"5' 7""",170,0c3ad3e4-319e-41bc-8bda-c5ba3aa8b91c,37.25722,-93.233154
30,female,American,Ms.,Patricia,C,McMahan,309 Golden Ridge Road,Albany,NY,New York,12207,US,United States,PatriciaCMcMahan@dayrep.com,Nothome,Kaogu0Eidoh,518-365-7662,1,Compton,3/4/1952,67,Pisces,MasterCard,5.27376E+15,931,23-Oct,099-34-7105,1Z F26 463 36 3176 245 1,5533652678,14214961,Blue,Registered nurse anesthetist,Bay Furniture,2000 Kia Spectra,comprapb.com,B-,178.4,81.1,"5' 3""",160,5cc7cc0f-bbc8-4409-8fbf-f4e3f1d0dace,42.694386,-73.786078
31,male,American,Mr.,Brian,A,Irvin,4937 Seneca Drive,Portland,OR,Oregon,97232,US,United States,BrianAIrvin@fleckens.hu,Thaposts,go2Aef4zeih,503-927-2806,1,Yan,3/8/1953,66,Pisces,MasterCard,5.15872E+15,847,20-Nov,544-76-7456,1Z 743 406 85 3115 810 7,9455663696,27083337,Green,Market and survey researcher,Wickes Furniture,2011 Lexus IS,streetcue.com,O+,181.1,82.3,"5' 10""",179,dc16a944-dca7-4bac-9d54-6b445ac448b3,45.472771,-122.652671
32,male,American,Mr.,Rocky,B,Poulos,3027 Custer Street,State College,PA,Pennsylvania,16803,US,United States,RockyBPoulos@teleworm.us,Tainern,eith6Loh8,814-850-8301,1,Croy,6/6/1987,31,Gemini,MasterCard,5.10638E+15,346,20-Oct,193-32-3147,1Z 526 8W5 62 1963 891 1,1651435280,18564726,Blue,Charter bus driver,Source Club,2010 Peugeot 307,pmpi.com,O+,225.7,102.6,"5' 9""",175,0b840712-ad1f-4441-8d69-9f1ad245b901,40.73664,-77.887777
33,male,American,Mr.,Eddie,G,Grant,1889 Pickens Way,Richland,TX,Texas,76681,US,United States,EddieGGrant@fleckens.hu,Hadid1956,gai7Neb1j,903-362-2153,1,Chun,10/8/1956,62,Libra,Visa,4.53997E+15,740,22-Mar,449-80-9149,1Z E33 F02 73 9075 878 8,5985359330,38323356,Blue,"Extruding, forming, pressing, and compacting machine tender",Buttrey Food & Drug,2014 Buick Regal,advocareandrea.com,A+,147.8,67.2,"6' 0""",183,d7c514cb-69f7-4539-8d73-4c0793bb1c81,31.874027,-96.506129
34,female,American,Ms.,Robin,T,Rocha,1854 Columbia Boulevard,Windsor Mill,MD,Maryland,21244,US,United States,RobinTRocha@rhyta.com,Insch1975,bie3waeWib,410-474-2946,1,Sanchez,2/21/1975,44,Pisces,Visa,4.53292E+15,128,22-Jul,217-76-5292,1Z 056 705 61 4324 202 0,1226960672,80505767,Blue,Chauffeur,You Are Successful,2004 Mahindra Armada,alabamanewhome.com,AB+,111.3,50.6,"5' 2""",157,ff0f48a7-8134-434b-ad62-0b2845279779,39.360598,-76.734927
35,female,American,Mrs.,Lorraine,J,Saladino,1372 Farland Avenue,Victoria,TX,Texas,77901,US,United States,LorraineJSaladino@teleworm.us,Parong,souVohf0,830-425-8621,1,Barbieri,4/7/1993,26,Aries,MasterCard,5.58427E+15,308,21-Feb,636-90-2082,1Z 162 272 31 9948 565 9,1627247328,48837906,Purple,Bench carpenter,Edge Yard Service,2012 Nissan Altima,CartridgeBargains.com,O+,216.3,98.3,"5' 1""",156,b656dd22-07e5-4a7b-b3c7-da6d9edc8a03,28.743371,-96.953603
36,female,American,Ms.,Elena,A,Hepner,3547 Wilson Street,Palm Desert,CA,California,92260,US,United States,ElenaAHepner@fleckens.hu,Oustom,DeiG9ohLam5,760-862-5725,1,Theisen,12/18/1965,53,Sagittarius,Visa,4.55625E+15,355,24-Sep,620-14-0062,1Z 113 E35 40 4412 352 4,9548323075,93963956,Purple,Medical scientist,Elm Farm,2003 Mazda MX-5 Miata,peacedogman.com,A+,137.1,62.3,"5' 1""",154,45e5b7e6-9191-4a35-9a19-21e013b6f21e,33.608816,-116.40646
37,male,American,Mr.,Mark,R,Shand,4549 American Drive,Munson,FL,Florida,32570,US,United States,MarkRShand@armyspy.com,Ausiout,eth2OoD5oo,850-957-9291,1,Springer,3/23/1982,37,Aries,Visa,4.71682E+15,347,20-Jun,771-40-6400,1Z 649 433 54 5466 805 3,5797559656,82192339,Blue,Cost consultant,Williams Bros.,1995 Fiat Panda,upball.com,B+,170.9,77.7,"5' 10""",177,8addfc8c-b2d1-4372-aa70-0a6cf6bae2c5,30.286137,-84.274262
38,male,American,Mr.,Anton,B,Welch,815 Snowbird Lane,Omaha,NE,Nebraska,68102,US,United States,AntonBWelch@fleckens.hu,Froddly,jiM6xeihooc,402-636-6772,1,King,7/23/1933,85,Leo,MasterCard,5.38802E+15,797,21-Sep,508-15-4488,1Z W21 624 07 5214 752 6,7373628397,4435242,Blue,Pediatric nurse,Country Club Markets,2008 Fiat Stilo,yanncucherat.com,B+,188.8,85.8,"5' 10""",179,318dbbe4-900d-4ed1-98f4-382a086c47f2,41.250922,-95.841252
39,female,American,Ms.,Ruth,J,Roberson,1549 Southside Lane,Los Angeles,CA,California,90022,US,United States,RuthJRoberson@armyspy.com,Lifehout,Oshahm3Eew,323-722-6742,1,Hurt,6/7/1945,73,Gemini,Visa,4.71683E+15,716,22-Apr,609-13-1960,1Z 0W9 887 08 0602 742 4,2212278638,15037412,Green,Clerical supervisor,ManPower,2011 Volkswagen Sharan,jeremyntiffany.com,A+,213.4,97,"5' 2""",157,a97a6654-e6b9-4fba-ae8f-55f26d30832e,34.048263,-118.247762
40,female,American,Ms.,Audra,J,Norris,3789 Freed Drive,Turlock,CA,California,95380,US,United States,AudraJNorris@cuvox.de,Hinvallover,Thie5Ohrie,209-668-6057,1,McClary,9/3/1996,22,Virgo,Visa,4.55669E+15,770,23-Nov,603-44-8970,1Z 774 287 41 5098 106 6,6243154583,63200062,Blue,Attorney,Galyan's,2006 Renault Modus,homeprobuilders.com,O+,213.8,97.2,"5' 2""",158,4524ae99-030b-4dfe-9fb4-841e4e2f2611,37.441719,-120.845855
41,male,American,Mr.,Bennie,M,Williams,4513 Sherwood Circle,Lafayette,LA,Louisiana,70503,US,United States,BennieMWilliams@superrito.com,Tuporat,Chie9sae,337-293-0128,1,Kramer,9/30/1999,19,Libra,Visa,4.91688E+15,698,20-Feb,664-01-8737,1Z A43 229 25 1021 982 4,2817506911,7398872,White,Human resources supervisor,Britling Cafeterias,2015 Maserati GranTurismo Convertible,papercartdaily.com,O-,123.9,56.3,"5' 9""",176,02207c08-bfa0-417d-b459-77c21f6a05ac,30.167125,-92.018385
42,male,American,Mr.,Bryan,L,Wittman,865 Better Street,Lenexa,KS,Kansas,66219,US,United States,BryanLWittman@rhyta.com,Forneirdis,Aegi2eph,913-322-2108,1,Johnstone,1/6/2000,19,Capricorn,Visa,4.53924E+15,623,22-Jun,511-21-2343,1Z 652 159 33 2814 175 2,1362106692,95879205,Red,Boiler mechanic,J. B. Van Sciver,2012 Kia Picanto,bodysbyralph.com,O-,191.2,86.9,"5' 5""",164,9e97aaa0-227f-4ef5-be47-55612a2abe5d,38.933082,-94.821717
43,male,American,Mr.,David,J,Corona,4155 Wescam Court,Reno,NV,Nevada,89501,US,United States,DavidJCorona@einrot.com,Thaverefull,Ode5ievai,775-845-9736,1,Matteo,6/4/1984,34,Gemini,Visa,4.485E+15,321,21-Jul,530-39-6710,1Z 17E 588 06 6763 328 6,5448054969,6158037,Black,Climatologist,Dynatronics Accessories,2000 Daihatsu Charade,philipflavin.com,O-,154.2,70.1,"6' 2""",189,92e285fc-2811-4eab-b669-56a24ad7a525,39.441478,-119.744778
44,male,American,Mr.,Trenton,E,Velasco,1253 Edsel Road,Los Angeles,CA,California,90017,US,United States,TrentonEVelasco@fleckens.hu,Netionster,Fohxa7Ue9ob,818-413-6468,1,Corbin,1/31/1950,69,Aquarius,MasterCard,5.33324E+15,916,21-May,618-46-7308,1Z 706 385 59 6531 787 0,7375573380,65029345,Black,Mental health aide,Hit or Miss,2000 Volkswagen Sharan,superlicores.com,AB+,173.1,78.7,"5' 8""",173,d89b471a-01ab-4836-8891-f854a374536a,34.00336,-118.297907
45,female,American,Ms.,Tracey,C,Howell,3072 John Calvin Drive,Chicago,IL,Illinois,60603,US,United States,TraceyCHowell@jourrapide.com,Acits1983,oosholuShu8,708-842-5216,1,Warren,5/23/1983,35,Gemini,MasterCard,5.19838E+15,612,22-Dec,349-92-8597,1Z 495 3E2 46 3255 653 2,5272612650,88388788,Blue,Motorcycle mechanic,Levitz Furniture,2001 Renault Kangoo,AnabolicFood.com,O+,164.8,74.9,"5' 6""",167,8c07a6d9-9504-45c9-a2da-7a510f05d072,41.886685,-87.647324
46,male,American,Mr.,Warren,M,Henson,4127 Godfrey Road,New York,NY,New York,10040,US,United States,WarrenMHenson@einrot.com,Ancessitere,Yahz7beef,212-544-9090,1,Chan,7/6/1975,43,Cancer,MasterCard,5.52714E+15,309,22-Dec,113-78-7326,1Z V78 042 46 5562 757 5,2869401094,45508254,Black,Student services director,Shoe Pavilion,2011 Porsche Cayenne,elderlawadviser.com,A+,159.9,72.7,"6' 0""",184,e9c85d5f-80e7-42e0-807c-d7473ef10011,40.86486,-73.980853
47,male,American,Mr.,Kenneth,J,Rogers,4745 Simpson Avenue,York,PA,Pennsylvania,17403,US,United States,KennethJRogers@fleckens.hu,Lestout,dai7chahBu,717-887-2903,1,McCranie,10/20/1942,76,Libra,Visa,4.91622E+15,501,21-Sep,184-56-4987,1Z 733 W33 38 6903 637 1,1808717520,45543235,Blue,Umpire,Galaxy Man,1993 Peugeot 205,nisforny.com,O+,200.2,91,"5' 4""",162,394ec9ca-c61b-426c-a2a0-a3c46ad90a64,39.988391,-76.626695
48,female,American,Ms.,Dana,L,Young,391 Crestview Manor,Indianapolis,IN,Indiana,46204,US,United States,DanaLYoung@armyspy.com,Somele78,Ohsi1Iur,317-267-2604,1,Sharkey,1/2/1978,41,Capricorn,MasterCard,5.45728E+15,662,24-Nov,304-46-8989,1Z 281 264 35 0741 663 6,305823828,71013216,Purple,Automotive body repairer,Eisner Food Stores,2004 Peugeot 1007,stlpermits.com,O+,216.5,98.4,"5' 7""",171,f8400417-5cc4-4019-8f84-a339f6a37ea4,39.680748,-86.153761
49,female,American,Mrs.,Deborah,M,Young,3836 Prospect Valley Road,Gardena,CA,California,90248,US,United States,DeborahMYoung@rhyta.com,Oling1958,Phah9uix,310-941-0930,1,Holiday,7/30/1958,60,Leo,Visa,4.71675E+15,516,24-Oct,568-14-8668,1Z 137 235 24 4182 632 1,5363869448,21373127,Blue,Medical records technician,Mostow Co.,1996 Lotus Esprit,trangvinhcorp.com,B+,219.1,99.6,"5' 1""",155,3690b8f3-94a5-4214-b636-efdd10bd71f3,33.970893,-118.336018
50,male,American,Mr.,Don,K,Fleming,3621 Sunny Day Drive,Anaheim,CA,California,92805,US,United States,DonKFleming@fleckens.hu,Thisere,hieLooL4ra6,714-780-8721,1,Bailey,5/20/1982,36,Taurus,Visa,4.48587E+15,422,21-Oct,570-81-6661,1Z 854 029 81 4028 722 1,1063956832,4748923,Red,Arbitrator,Rite Solution,1998 Daewoo Chairman,rusharch.com,O+,218.7,99.4,"5' 11""",181,c77dac63-f8e3-42fb-97d0-db6d0e2ce24e,33.830337,-117.902056
51,female,American,Mrs.,Faye,D,Golden,4100 Duncan Avenue,Huntington,NY,New York,11743,US,United States,FayeDGolden@rhyta.com,Turper,eidooHeeC7,917-601-6480,1,Cofer,8/30/1949,69,Virgo,MasterCard,5.50199E+15,462,20-Feb,056-56-5305,1Z 949 474 74 2892 077 3,7263395641,88496876,Blue,Claims representative,Warshal's,1999 Lexus GS,smpsys.com,A+,179.3,81.5,"5' 1""",155,f784e22b-c2fa-410c-beae-4ad0010521a4,40.917726,-73.355924
